2018-09-14 14:23:16,789 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-09-14 14:25:04,027 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/jquery-1.4.2.min.js, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,033 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/jquery.simplemodal-1.4.js, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,038 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/logo.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,036 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/pop_close.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,034 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/dubbo.js, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,077 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_show.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,079 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_user.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,102 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/exit.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,111 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_help.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,125 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_btn.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,144 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_bg.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,151 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_btn_bg22.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,169 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/head_bg.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,172 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/main_bg.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,177 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_input.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,181 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/input.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,190 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_active.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:04,195 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_btn_bg44.png, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:06,905 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-09-14 14:29:08,809 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\taoxi\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/org.spring.springboot.dubbo.CityDubboService:*=empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* override://192.168.64.1:20880/org.spring.springboot.dubbo.CityDubboService?category=configurators&dynamic=false&enabled=true&version=1.0.0&weight=200 empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*}, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:17,982 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=18056&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D18056%26register.ip%3D192.168.64.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1536906548740&timestamp=1536906548776, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:18,002 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:18,004 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.64.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:18,361 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:18,431 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, urls: [empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, override://192.168.64.1:20880/org.spring.springboot.dubbo.CityDubboService?category=configurators&dynamic=false&enabled=true&version=1.0.0&weight=200], dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:19,740 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:32,745 [http-nio-8090-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:29:32,926 [http-nio-8090-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.64.1
